"CODE"	"FRANSE BENAMING"	"NEDERLANDSE BENAMING"	"DUITSE BENAMING"	"BEGINDATUM"	"EINDDATUM"
"34036"	"Espierres"	"Spiere"	"-"	"01.01.0001"	"03.01.1977"
"34037"	"-"	"Tiegem"	"-"	"01.01.0001"	"03.01.1977"
"34038"	"-"	"Vichte"	"-"	"01.01.0001"	"03.01.1977"
"34039"	"-"	"Waarmaarde"	"-"	"01.01.0001"	"03.01.1977"
"34040"	"-"	"Waregem"	"-"	"01.01.0001"	"31.12.9999"
"34041"	"-"	"Wevelgem"	"-"	"01.01.0001"	"31.12.9999"
"34042"	"-"	"Zwevegem"	"-"	"01.01.0001"	"31.12.9999"
"34043"	"Espierres-Helchin"	"Spiere-Helkijn"	"-"	"03.01.1977"	"31.12.9999"
"35001"	"-"	"Bekegem"	"-"	"01.01.0001"	"02.01.1977"
"35002"	"-"	"Bredene"	"-"	"01.01.0001"	"31.12.9999"
"35003"	"-"	"Eernegem"	"-"	"01.01.0001"	"02.01.1977"
"35004"	"-"	"Ettelgem"	"-"	"01.01.0001"	"03.01.1977"
"35005"	"-"	"Gistel"	"-"	"01.01.0001"	"31.12.9999"
"35006"	"-"	"Ichtegem"	"-"	"01.01.0001"	"31.12.9999"
"35007"	"-"	"Klemskerke"	"-"	"01.01.0001"	"01.01.1977"
"35008"	"-"	"Leffinge"	"-"	"01.01.0001"	"03.01.1977"
"35009"	"-"	"Lombardsijde"	"-"	"01.01.0001"	"02.01.1971"
"35010"	"-"	"Mannekensvere"	"-"	"01.01.0001"	"01.01.1971"
"35011"	"-"	"Middelkerke"	"-"	"01.01.0001"	"31.12.9999"
"35012"	"-"	"Moere"	"-"	"01.01.0001"	"01.01.1971"
"35013"	"Ostende"	"Oostende"	"Oostende"	"01.01.0001"	"31.12.9999"
"35014"	"-"	"Oudenburg"	"-"	"01.01.0001"	"31.12.9999"
"35015"	"-"	"Roksem"	"-"	"01.01.0001"	"03.01.1977"
"35016"	"-"	"Schore"	"-"	"01.01.0001"	"01.01.1971"
"35017"	"Saint-Pierre-Capelle"	"Sint-Pieters-Kapelle (Vl.)"	"Sint-Pieters-Kapelle(Vl.)"	"01.01.0001"	"01.01.1971"
"35018"	"-"	"Slijpe"	"-"	"01.01.0001"	"01.01.1971"
"35019"	"-"	"Snaaskerke"	"-"	"01.01.0001"	"01.01.1977"
"35020"	"-"	"Stene"	"-"	"01.01.0001"	"01.01.1971"
"35021"	"-"	"Vlissegem"	"-"	"01.01.0001"	"01.01.1977"
"35022"	"-"	"Westende"	"-"	"01.01.0001"	"03.01.1977"
"35023"	"-"	"Westkerke"	"-"	"01.01.0001"	"03.01.1977"
"35024"	"-"	"Wilskerke"	"-"	"01.01.0001"	"03.01.1977"
"35025"	"-"	"Zande"	"-"	"01.01.0001"	"01.01.1971"
"35026"	"-"	"Zandvoorde(Oostende)"	"-"	"01.01.0001"	"01.01.1971"
"35027"	"-"	"Zevekote"	"-"	"01.01.0001"	"01.01.1971"
"35028"	"-"	"Spermalie"	"-"	"01.01.1971"	"01.01.1977"
"35029"	"-"	"De Haan"	"-"	"01.01.1977"	"31.12.9999"
"35501"	"-"	"Mariakerke"	"-"	"01.01.0001"	"01.01.1900"
"36001"	"-"	"Ardooie"	"-"	"01.01.0001"	"01.01.1977"
"36002"	"-"	"Beveren"	"-"	"01.01.0001"	"25.01.1965"
"36003"	"-"	"Dadizele"	"-"	"01.01.0001"	"01.01.1977"
"36004"	"-"	"Emelgem"	"-"	"01.01.0001"	"04.01.1965"
"36005"	"-"	"Gits"	"-"	"01.01.0001"	"10.03.1977"
"36006"	"-"	"Hooglede"	"-"	"01.01.0001"	"31.12.9999"
"36007"	"-"	"Ingelmunster"	"-"	"01.01.0001"	"31.12.9999"
"36008"	"-"	"Izegem"	"-"	"01.01.0001"	"31.12.9999"
"36009"	"-"	"Kachtem"	"-"	"01.01.0001"	"03.01.1977"
"36010"	"-"	"Ledegem"	"-"	"01.01.0001"	"31.12.9999"
"36011"	"-"	"Lichtervelde"	"-"	"01.01.0001"	"31.12.9999"
"36012"	"-"	"Moorslede"	"-"	"01.01.0001"	"31.12.9999"
"36013"	"-"	"Oekene"	"-"	"01.01.0001"	"03.01.1977"
"36014"	"-"	"Oostnieuwkerke"	"-"	"01.01.0001"	"03.01.1977"
"36015"	"Roulers"	"Roeselare"	"Roeselare"	"01.01.0001"	"31.12.9999"
"36016"	"-"	"Rollegem-Kapelle"	"-"	"01.01.0001"	"01.01.1977"
"36017"	"-"	"Rumbeke"	"-"	"01.01.0001"	"03.01.1977"
"36018"	"-"	"Sint-Eloois-Winkel"	"-"	"01.01.0001"	"01.01.1977"
"36019"	"-"	"Staden"	"-"	"01.01.0001"	"31.12.9999"
"36020"	"-"	"Westrozebeke"	"-"	"01.01.0001"	"03.01.1977"
"37001"	"-"	"Aarsele"	"-"	"01.01.0001"	"01.01.1977"
"37002"	"-"	"Dentergem"	"-"	"01.01.0001"	"31.12.9999"
"37003"	"-"	"Egem"	"-"	"01.01.0001"	"01.01.1977"
"37004"	"-"	"Kanegem"	"-"	"01.01.0001"	"01.01.1977"
"37005"	"-"	"Koolskamp"	"-"	"01.01.0001"	"01.01.1977"
"37006"	"-"	"Markegem"	"-"	"01.01.0001"	"02.01.1977"
"37007"	"-"	"Meulebeke"	"-"	"01.01.0001"	"31.12.9999"
"37008"	"-"	"Oeselgem"	"-"	"01.01.0001"	"02.01.1977"
"37009"	"-"	"Ooigem"	"-"	"01.01.0001"	"02.01.1977"
"37010"	"-"	"Oostrozebeke"	"-"	"01.01.0001"	"31.12.9999"
"37011"	"-"	"Pittem"	"-"	"01.01.0001"	"31.12.9999"
"37012"	"-"	"Ruiselede"	"-"	"01.01.0001"	"31.12.9999"
"37013"	"-"	"Schuiferskapelle"	"-"	"01.01.0001"	"01.01.1977"
"37014"	"-"	"Sint-Baafs-Vijve"	"-"	"01.01.0001"	"02.01.1977"
"37015"	"-"	"Tielt"	"-"	"01.01.0001"	"31.12.9999"
"37016"	"-"	"Wakken"	"-"	"01.01.0001"	"02.01.1977"
"37017"	"-"	"Wielsbeke"	"-"	"01.01.0001"	"31.12.9999"
"37018"	"-"	"Wingene"	"-"	"01.01.0001"	"31.12.9999"
"37019"	"-"	"Zwevezele"	"-"	"01.01.0001"	"01.01.1977"
"37020"	"-"	"Ardooie"	"-"	"01.01.1977"	"31.12.9999"
"38001"	"-"	"Adinkerke"	"-"	"01.01.0001"	"03.01.1977"
"38002"	"-"	"Alveringem"	"-"	"01.01.0001"	"31.12.9999"
"38003"	"-"	"Avekapelle"	"-"	"01.01.0001"	"17.04.1971"
"38004"	"-"	"Beveren (Yzer)"	"-"	"01.01.0001"	"04.01.1971"
"38005"	"-"	"Booitshoeke"	"-"	"01.01.0001"	"17.04.1971"
"38006"	"-"	"Bulskamp"	"-"	"01.01.0001"	"17.04.1971"
"38007"	"-"	"De Moeren"	"-"	"01.01.0001"	"14.01.1971"
"38008"	"La Panne"	"De Panne"	"De Panne"	"01.01.0001"	"31.12.9999"
"38009"	"-"	"Eggewaartskapelle"	"-"	"01.01.0001"	"17.04.1971"
"38010"	"-"	"Gijverinkhove"	"-"	"01.01.0001"	"16.02.1971"
"38011"	"-"	"Hoogstade"	"-"	"01.01.0001"	"01.01.1971"
"38012"	"-"	"Houtem"	"-"	"01.01.0001"	"03.01.1977"
"38013"	"-"	"Izenberge"	"-"	"01.01.0001"	"16.02.1971"
"38014"	"-"	"Koksijde"	"-"	"01.01.0001"	"31.12.9999"
"38015"	"-"	"Leisele"	"-"	"01.01.0001"	"01.01.1977"
"38016"	"Nieuport"	"Nieuwpoort"	"Nieuwpoort"	"01.01.0001"	"31.12.9999"
"38017"	"-"	"Oeren"	"-"	"01.01.0001"	"01.01.1971"
"38018"	"-"	"Oostduinkerke"	"-"	"01.01.0001"	"30.09.1977"
"38019"	"-"	"Pervijze"	"-"	"01.01.0001"	"27.04.1977"
"38020"	"-"	"Ramskapelle (bij-Nieuwpoort)"	"-"	"01.01.0001"	"01.01.1971"
"38021"	"-"	"Sint-Joris (bij-Nieuwpoort)"	"-"	"01.01.0001"	"01.01.1971"
"38022"	"-"	"Sint-Rijkers"	"-"	"01.01.0001"	"01.01.1971"
"38023"	"-"	"Stavele"	"-"	"01.01.0001"	"01.01.1977"
"38024"	"-"	"Steenkerke (Vl.)"	"-"	"01.01.0001"	"17.04.1971"
"38025"	"Furnes"	"Veurne"	"Veurne"	"01.01.0001"	"31.12.9999"
"38026"	"-"	"Vinkem"	"-"	"01.01.0001"	"01.01.1971"
"38027"	"-"	"Wulpen"	"-"	"01.01.0001"	"09.01.1971"
"38028"	"-"	"Wulveringem"	"-"	"01.01.0001"	"01.01.1971"
"38029"	"-"	"Zoutenaaie"	"-"	"01.01.0001"	"17.04.1971"
"38030"	"-"	"Beauvoorde"	"-"	"01.01.1971"	"03.01.1977"
"40000"	"Pr.Fl.Orientale"	"Pr.Oost-Vlaanderen"	"Pr.Ostflandern"	"01.01.0001"	"31.12.9999"
"41001"	"-"	"Aaigem"	"-"	"01.01.0001"	"01.01.1977"
"41002"	"Alost"	"Aalst"	"Aalst"	"01.01.0001"	"31.12.9999"
"41003"	"-"	"Appelterre-Eichem"	"-"	"01.01.0001"	"01.01.1977"
"41004"	"-"	"Aspelare"	"-"	"01.01.0001"	"01.01.1977"
"41005"	"-"	"Baardegem"	"-"	"01.01.0001"	"01.01.1977"
"41006"	"-"	"Bambrugge"	"-"	"01.01.0001"	"01.01.1977"
"41007"	"-"	"Bavegem"	"-"	"01.01.0001"	"22.04.1977"
"41008"	"-"	"Borsbeke"	"-"	"01.01.0001"	"02.02.1977"
